date,observed_monthly_twsa,model_reconstructed_monthly_twsa,observed_ma12,model_reconstructed_ma12,residual_model_minus_observed,source_segment
2013-09-01,-14.908499075126612,-13.08562595057804,-49.8167859789863,-50.697018349837805,1.822873124548572,historical reconstruction/context
2013-10-01,-75.16039672458525,-76.76991563249275,-54.8691766058758,-56.10507823054172,-1.6095189079075,historical reconstruction/context
2013-11-01,-70.76466618585862,-71.30163048813074,-55.290291508285286,-56.189227205816415,-0.5369643022721249,historical reconstruction/context
2013-12-01,-105.7276581295365,-107.01413672217618,-58.375841118049664,-59.22339235533227,-1.286478592639682,historical reconstruction/context
2014-01-01,-78.9575364193599,-80.10658392934894,-61.51055842335296,-61.67709481914705,-1.149047509989046,historical reconstruction/context
2014-02-01,-32.79985031008951,-26.12844212873055,-60.67971366457011,-60.10558449911181,6.671408181358959,historical reconstruction/context
2014-03-01,-70.77572370527139,-69.70220244747712,-65.55752147364662,-65.04755543412811,1.073521257794269,historical reconstruction/context
2014-04-01,-80.82957234165073,-82.47297869449436,-65.75169212458208,-65.43608152539669,-1.643406352843627,historical reconstruction/context
2014-05-01,-116.11255789687168,-116.32847775740414,-66.25578297746004,-65.8227838773298,-0.2159198605324661,historical reconstruction/context
2014-06-01,-136.9713421798451,-131.50093852851856,-68.97260016755303,-68.10802976009755,5.470403651326535,historical reconstruction/context
2014-07-01,-43.30668347518168,-34.96516568265521,-70.04880205953059,-68.41865152932961,8.341517792526467,historical reconstruction/context
2014-08-01,-141.6470657228819,-134.98124562510466,-80.66346268052156,-78.69644529892594,6.665820097777242,historical reconstruction/context
2014-09-01,-116.14768366433374,-116.68168357910554,-89.10006139628882,-87.32945010130322,-0.5339999147717975,historical reconstruction/context
2014-10-01,-113.57288557626164,-115.75852805700656,-92.30110213392852,-90.57850113667938,-2.1856424807449173,historical reconstruction/context
2014-11-01,-138.20998632637816,-135.62092871540244,-97.92154547897182,-95.93844265561869,2.589057610975715,historical reconstruction/context
2014-12-01,-59.23249642684662,-54.7391059205562,-94.04694867041434,-91.58219008881704,4.4933905062904245,historical reconstruction/context
2015-01-01,-160.4379894618691,-157.82432488192936,-100.83698642395676,-98.05866850153204,2.6136645799397518,historical reconstruction/context
