date,scenario,climate_component_mm,component_lower_mm,component_upper_mm,risk_index,assumption,residual_assumption_mm,residual_p05_mm,residual_p25_mm,residual_p75_mm,residual_p95_mm,total_twsa_reconstruction_mm,p05,p25,p50,p75,p95,projection_type,total_twsa_ma12_mm
2077-12-01,ssp585,28.56181851955598,10.979102248108028,41.88600916680032,10.599809495071694,B_trend_capped_persistence_residual,194.1715971261978,-136.51211800000002,-76.16655499999999,194.1715971261978,194.1715971261978,222.73341564575375,-125.53301575189198,-47.604736480444,222.73341564575375,222.73341564575375,236.0576062929981,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,219.38379825141544
2078-01-01,ssp585,22.403540547294856,5.049615530508183,32.51421631681276,10.69221586499646,B_trend_capped_persistence_residual,194.341343875,-136.51211800000002,-76.16655499999999,194.341343875,194.341343875,216.7448844222949,-131.46250246949182,-53.763014452705136,216.7448844222949,216.7448844222949,226.8555601918128,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,220.1987710720605
2078-02-01,ssp585,17.63464706482636,5.049615530508183,28.99167295795892,10.795396064385269,B_trend_capped_persistence_residual,194.5110906238022,-136.51211800000002,-76.16655499999999,194.5110906238022,194.5110906238022,212.14573768862857,-131.46250246949182,-58.53190793517363,212.14573768862857,212.14573768862857,223.50276358176112,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,220.6668241979968
2078-03-01,ssp585,16.509194415536562,2.467598669993427,28.99167295795892,10.887712044785546,B_trend_capped_persistence_residual,194.6644102678816,-136.51211800000002,-76.16655499999999,194.6644102678816,194.6644102678816,211.17360468341812,-134.04451933000658,-59.65736058446343,211.17360468341812,211.17360468341812,223.6560832258405,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,221.1180483693083
2078-04-01,ssp585,14.56351680369117,2.467598669993427,26.864537685053268,10.9878931548842,B_trend_capped_persistence_residual,194.83415701668375,-136.51211800000002,-76.16655499999999,194.83415701668375,194.83415701668375,209.39767382037493,-134.04451933000658,-61.603038196308816,209.39767382037493,209.39767382037493,221.69869470173705,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,221.60569845748063
2078-05-01,ssp585,26.76146146393453,2.467598669993427,39.423601917900285,11.089471760760173,B_trend_capped_persistence_residual,194.9984280639117,-136.51211800000002,-76.16655499999999,194.9984280639117,194.9984280639117,221.75988952784624,-134.04451933000658,-49.40509353606546,221.75988952784624,221.75988952784624,234.422029981812,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,223.11379855483796
2078-06-01,ssp585,23.283597990799,-6.079300389079464,36.73355072034594,11.204925475379255,B_trend_capped_persistence_residual,195.16817481271391,-136.51211800000002,-76.16655499999999,195.16817481271391,195.16817481271391,218.4517728035129,-142.59141838907948,-52.88295700920099,218.4517728035129,218.4517728035129,231.90172553305985,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,222.6316448408921
2078-07-01,ssp585,25.848275861427933,-6.079300389079464,59.493293270208106,11.308305940015437,B_trend_capped_persistence_residual,195.33244585994183,-136.51211800000002,-76.16655499999999,195.33244585994183,195.33244585994183,221.18072172136976,-142.59141838907948,-50.31827913857205,221.18072172136976,221.18072172136976,254.82573913014997,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,221.6000763747651
2078-08-01,ssp585,35.86856720985243,-6.079300389079464,66.51415373760047,11.402475394382256,B_trend_capped_persistence_residual,195.502192608744,-136.51211800000002,-76.16655499999999,195.502192608744,195.502192608744,231.3707598185964,-142.59141838907948,-40.29798779014756,231.3707598185964,231.3707598185964,262.01634634634445,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,220.39663114814883
2078-09-01,ssp585,26.97908147607314,-8.491770309677324,66.44842112360976,11.51755268891742,B_trend_capped_persistence_residual,195.6719393575462,-136.51211800000002,-76.16655499999999,195.6719393575462,195.6719393575462,222.65102083361933,-145.00388830967734,-49.18747352392685,222.65102083361933,222.65102083361933,262.120360481156,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,220.2955630411612
2078-10-01,ssp585,24.65131502228656,-8.491770309677324,57.4306094877291,11.666361774486813,B_trend_capped_persistence_residual,195.8362104047741,-136.51211800000002,-76.16655499999999,195.8362104047741,195.8362104047741,220.4875254270607,-145.00388830967734,-51.51523997771343,220.4875254270607,220.4875254270607,253.26681989250324,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,219.2660331190426
2078-11-01,ssp585,10.88406677329292,-11.035997289966916,31.669842429839715,11.820356469130454,B_trend_capped_persistence_residual,196.00595715357636,-136.51211800000002,-76.16655499999999,196.00595715357636,196.00595715357636,206.89002392686925,-147.54811528996694,-65.28248822670707,206.89002392686925,206.89002392686925,227.67579958341605,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,217.9155858599454
2078-12-01,ssp585,11.121086111771136,-6.821678908696787,31.38948888015716,11.972989139147932,B_trend_capped_persistence_residual,196.17022820080425,-136.51211800000002,-76.16655499999999,196.17022820080425,196.17022820080425,207.2913143125754,-143.3337969086968,-65.04546888822885,207.2913143125754,207.2913143125754,227.5597170809614,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,216.62874408218056
2079-01-01,ssp585,13.372498395928238,-2.356366379739777,31.38948888015716,12.1290170222766,B_trend_capped_persistence_residual,196.33997494960644,-136.51211800000002,-76.16655499999999,196.33997494960644,196.33997494960644,209.71247334553468,-138.86848437973978,-62.79405660407175,209.71247334553468,209.71247334553468,227.7294638297636,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,216.04270982578387
