scenario,scenario_label,lat,lon,delta_wb2_median_mm_month,models_matching_median_sign,sign_agreement_fraction,sign_agreement_class
ssp126,SSP1-2.6,39.125,117.625,-1.8269802415369172,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.125,118.375,-2.503271574478198,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.375,112.625,0.069975115363368,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,112.875,0.0698625166407875,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,113.125,-0.0411476813232458,3,0.5,mixed sign
ssp126,SSP1-2.6,39.375,113.375,0.4239690649959247,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,113.625,0.423724858110881,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,113.875,0.4239690649959122,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,114.125,0.4073919005535771,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,114.375,0.3555751061964791,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,114.625,0.4412824302724347,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,114.875,0.5081294216558483,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,115.125,0.5083682258245741,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,115.375,0.4530846094565008,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,115.625,0.4346861253590353,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,115.875,-0.2489634815231172,3,0.5,mixed sign
ssp126,SSP1-2.6,39.375,116.125,-0.2490090684444736,3,0.5,mixed sign
ssp126,SSP1-2.6,39.375,116.375,-0.2290679166314069,3,0.5,mixed sign
ssp126,SSP1-2.6,39.375,116.625,-0.1559252823576842,3,0.5,mixed sign
ssp126,SSP1-2.6,39.375,116.875,-0.1233826720111628,3,0.5,mixed sign
ssp126,SSP1-2.6,39.375,117.125,-0.5385656383505177,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,117.375,-0.5385656383505515,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,117.625,-0.5385656383504804,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,117.875,-0.538565638350532,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,118.125,-1.812039485939021,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,118.375,-0.8087626557070258,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.375,118.625,-0.8568058650372921,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.375,118.875,-2.056183128202295,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.375,119.125,-2.061480125649364,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.625,112.625,0.6595946112647733,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,112.875,0.6590636001078964,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,113.125,-0.039577196606487,3,0.5,mixed sign
ssp126,SSP1-2.6,39.625,113.375,0.4268315834409977,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,113.625,0.4268315834410003,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,113.875,0.4268315834409932,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,114.125,0.4093307201225702,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,114.375,0.3568281393388535,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,114.625,0.4427742674874633,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,114.875,0.4768221750334183,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,115.125,0.4768221750335,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,115.375,0.4185002780419777,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,115.625,0.3053495219047608,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,115.875,0.214595834818474,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,116.125,0.2154399981163273,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,116.375,0.2363617823019899,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,116.625,0.2982829605965014,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,116.875,-0.1013477506255295,3,0.5,mixed sign
ssp126,SSP1-2.6,39.625,117.125,-0.2305186424094227,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,117.375,-0.2315030033435559,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,117.625,-0.2315030033435279,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,117.875,-0.2305186424093606,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,118.125,-0.9727557861348096,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,118.375,-1.7295400008855346,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.625,118.625,-1.7663992304194522,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.625,118.875,-2.9588712862725908,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.625,119.125,-2.949276150546,5,0.8333333333333334,robust drying (>=5/6)
