date,year,scenario,risk_index,indicator
2060-12-01,2060,ssp585,3.314374625491664,risk_deficit_cumulative_z
2061-12-01,2061,ssp585,3.337053387557033,risk_deficit_cumulative_z
2062-12-01,2062,ssp585,3.348819134936809,risk_deficit_cumulative_z
2063-12-01,2063,ssp585,3.7050756398275104,risk_deficit_cumulative_z
2064-12-01,2064,ssp585,4.936391816232815,risk_deficit_cumulative_z
2065-12-01,2065,ssp585,5.622731427463716,risk_deficit_cumulative_z
2066-12-01,2066,ssp585,5.670942339642347,risk_deficit_cumulative_z
2067-12-01,2067,ssp585,5.987690905197917,risk_deficit_cumulative_z
2068-12-01,2068,ssp585,6.556944043354346,risk_deficit_cumulative_z
2069-12-01,2069,ssp585,7.330148886560302,risk_deficit_cumulative_z
2070-12-01,2070,ssp585,7.582037757350852,risk_deficit_cumulative_z
2071-12-01,2071,ssp585,8.394064208810736,risk_deficit_cumulative_z
2072-12-01,2072,ssp585,9.046331079022147,risk_deficit_cumulative_z
2073-12-01,2073,ssp585,9.509251533396204,risk_deficit_cumulative_z
2074-12-01,2074,ssp585,9.66201385042394,risk_deficit_cumulative_z
2075-12-01,2075,ssp585,9.78151316819065,risk_deficit_cumulative_z
2076-12-01,2076,ssp585,9.794287771458963,risk_deficit_cumulative_z
2077-12-01,2077,ssp585,10.599809495071694,risk_deficit_cumulative_z
2078-12-01,2078,ssp585,11.972989139147932,risk_deficit_cumulative_z
2079-12-01,2079,ssp585,13.386608585395852,risk_deficit_cumulative_z
2080-12-01,2080,ssp585,13.996838639787628,risk_deficit_cumulative_z
2081-12-01,2081,ssp585,14.740185175094997,risk_deficit_cumulative_z
2082-12-01,2082,ssp585,15.146663684403052,risk_deficit_cumulative_z
2083-12-01,2083,ssp585,16.027304026467046,risk_deficit_cumulative_z
2084-12-01,2084,ssp585,16.556133740908514,risk_deficit_cumulative_z
2085-12-01,2085,ssp585,17.693579142679468,risk_deficit_cumulative_z
2086-12-01,2086,ssp585,18.234458806342506,risk_deficit_cumulative_z
2087-12-01,2087,ssp585,18.765418949233634,risk_deficit_cumulative_z
2088-12-01,2088,ssp585,19.286733607717625,risk_deficit_cumulative_z
2089-12-01,2089,ssp585,19.616889583942093,risk_deficit_cumulative_z
2090-12-01,2090,ssp585,19.75117296318025,risk_deficit_cumulative_z
2091-12-01,2091,ssp585,19.876724073138767,risk_deficit_cumulative_z
2092-12-01,2092,ssp585,20.983476611592717,risk_deficit_cumulative_z
2093-12-01,2093,ssp585,21.508834845694725,risk_deficit_cumulative_z
2094-12-01,2094,ssp585,21.661020814692417,risk_deficit_cumulative_z
2095-12-01,2095,ssp585,22.0585759913823,risk_deficit_cumulative_z
2096-12-01,2096,ssp585,22.671164868442947,risk_deficit_cumulative_z
2097-12-01,2097,ssp585,22.867356556253384,risk_deficit_cumulative_z
2098-12-01,2098,ssp585,23.521182496049278,risk_deficit_cumulative_z
2099-12-01,2099,ssp585,23.963579302767325,risk_deficit_cumulative_z
2100-12-01,2100,ssp585,24.518241537404705,risk_deficit_cumulative_z
